	code	company	old_price	new_price	returns
0	030790	비케이탑스	526	17200	3169.9619771863117
1	025560	미래산업	133	3085	2219.5488721804513
2	019170	신풍제약	7240	153000	2013.2596685082874
3	032860	글로스퍼랩스	362	7290	1913.8121546961327
4	223310	경남제약헬스케어	174	3320	1808.0459770114942
5	270660	에브리봇	5920	86000	1352.7027027027027
6	054220	비츠로시스	485	5930	1122.680412371134
7	109820	진매트릭스	2120	24950	1076.8867924528302
8	206400	베노홀딩스	713	8340	1069.7054698457223
9	950130	엑세스바이오	2060	23450	1038.3495145631068
10	011000	진원생명과학	2410	25000	937.344398340249
11	058110	멕아이씨에스	3885	40100	932.1750321750322
12	012170	키위미디어그룹	150	1485	890.0
13	227420	도부마스크	486	4700	867.0781893004115
14	179720	옐로페이	319	2530	693.1034482758621
15	017650	대림제지	1255	9120	626.6932270916334
16	096530	씨젠	30650	222000	624.3066884176183
17	101360	이엔드디	4200	28800	585.7142857142857
18	001470	삼부토건	717	4885	581.3110181311017
19	082850	우리바이오	1120	7570	575.8928571428571
20	205470	휴마시스	1390	8910	541.0071942446043
21	122450	KMH	5380	33650	525.4646840148699
22	336260	두산퓨얼셀	8760	52600	500.4566210045662
23	080580	오킨스전자	3720	22000	491.39784946236557
24	192410	감마누	408	2400	488.2352941176471
25	131370	알서포트	2660	15450	480.82706766917295
26	285130	SK케미칼	64000	369000	476.5625
27	015260	에이엔피	350	1990	468.5714285714286
28	068760	셀트리온제약	39800	224300	463.5678391959799
29	052770	아이톡시	805	4460	454.0372670807454
30	033310	엠투엔	3205	16350	410.1404056162247
31	018000	유니슨	1005	5120	409.452736318408
32	131220	대한과학	5090	24750	386.24754420432225
33	196490	디에이테크놀로지	1515	7240	377.8877887788779
34	023960	에쓰씨엔지니어링	1435	6850	377.35191637630663
35	054780	키이스트	2420	11250	364.87603305785126
36	096690	에이루트	1530	6930	352.94117647058823
37	253840	수젠텍	5480	24800	352.55474452554745
38	002630	오리엔트바이오	303	1365	350.49504950495043
39	068330	일신바이오	2110	9260	338.86255924170615
40	100090	삼강엠앤티	4505	19350	329.52275249722527
41	000040	KR모터스	279	1195	328.31541218637994
42	011930	신성이엔지	950	3945	315.2631578947369
43	214310	세미콘라이트	515	2120	311.6504854368932
44	084650	랩지노믹스	5160	21150	309.8837209302325
45	083470	이엠앤아이	387	1585	309.5607235142119
46	187870	디바이스이엔지	12300	49600	303.2520325203252
47	051980	센트럴바이오	555	2235	302.7027027027027
48	039670	한류타임즈	917	3680	301.30861504907307
49	001020	페이퍼코리아	628	2515	300.4777070063694
50	138610	나이벡	11100	44250	298.64864864864865
51	064850	에프앤가이드	3495	13900	297.7110157367668
